venue.id,venue.name,venue.location.lat,venue.location.lng,borough,rating,likes,tips_count
52c1b79311d22d8305920c97,Johnny Rockets,40.72692561990137,-74.03797309235031,Jersey City,6.2,44,35
4bf44f65706e20a1a930a998,Jimbo's Hamburger Palace,40.80355847712879,-73.93808792597248,Manhattan Community Board 11,6.2,5,2
4c9bd1140313370443af4fd5,Checkers,40.708838446156705,-73.9586453139782,Brooklyn,5.7,28,16
3fd66200f964a52084e51ee3,Eisenberg's Sandwich Shop,40.74101313041087,-73.98998276914519,Manhattan Community Board 5,8.6,820,285
4a0c616ff964a52026751fe3,Pete's Grill,40.74369686270076,-73.92575405150966,Queens,8.1,111,51
4e306eaab0fbb3b11122bb38,The Brightside Tavern,40.71807744883538,-74.05159373022637,Jersey City,7.1,57,52
4bc94241511f9521a58cadc7,White Castle,40.679864408321784,-73.84036463041224,Queens,6.2,30,4
526f15f8498ee9dd240b5c7d,Hudson Malone,40.7573549437635,-73.9686178277016,Manhattan Community Board 6,7.8,187,54
4a6a532cf964a5201ecd1fe3,Cafe Henri - LIC,40.742568,-73.953835,Queens,8.1,192,102
56c4cc19cd109ab57318e4f0,Checkers,40.810563,-73.953043,Manhattan Community Board 10,6.1,4,2
4bbed3adf353d13a15c87d10,Wendy's,40.805479,-73.939426,Manhattan Community Board 11,6.0,20,11
59c8394cad17894a86aa1ddb,The Loyal,40.73218246894795,-74.00346856702589,Manhattan Community Board 2,8.0,115,29
3fd66200f964a52023e41ee3,Lightship Frying Pan,40.752381771041684,-74.00961883134616,Manhattan Community Board 4,8.1,1588,396
3fd66200f964a52057ee1ee3,Heights Cafe,40.69520082413794,-73.99589275866926,Brooklyn,6.5,94,51
5d30eeca3fa42a0008dee0e5,Red Hook Tavern,40.677836,-74.012036,Brooklyn,9.0,38,13
4ba29cfdf964a520490938e3,Brickyard Gastropub,40.764999684145685,-73.98789127602161,Manhattan Community Board 4,6.6,247,104
4f615c02e4b015728758e99e,Jalopy Tavern,40.68135444334983,-74.00461728614081,Brooklyn,8.5,76,30
465c180df964a5202a471fe3,Le Barricou,40.711116238491975,-73.94998796244987,Brooklyn,8.6,830,281
4e09bb7dfa767637fd396326,Bar Bruno,40.68351749855508,-73.9998304896896,Brooklyn,8.1,260,84
5745cf0a498e50f815b89a69,Snax Spot,40.756836,-73.99322,Manhattan Community Board 4,0.0,4,1
585164b77220e62219c9aeb6,4 Charles Prime Rib,40.735219495923204,-74.0006488188871,Manhattan Community Board 2,9.3,202,52
53307b5d498e2ae05d3e0da9,Steinway Burger Shack,40.76158532480047,-73.91686474938608,Queens,5.2,6,9
4a78c865f964a52068e61fe3,Joseph Leonard,40.733681436202154,-74.00176726868112,Manhattan Community Board 2,9.3,1142,384
4f134a2ee4b0472046a4550e,Fresh Burger,40.79266257537088,-73.95003158743592,Manhattan Community Board 11,0.0,1,1
4e4c7133bd413c4cc6696ba4,Burger Shack,40.796000516314585,-73.94104233826727,Manhattan Community Board 11,0.0,0,0
57573cd3498e9354b97fb1fd,Harlem Burger Co.,40.80576623936885,-73.9542917639541,Manhattan Community Board 10,5.6,20,8
43334580f964a52013281fe3,Perry St,40.734453230733486,-74.0099817730103,Manhattan Community Board 2,8.8,345,109
5b205721a5a315002cda1332,Burger King,40.803078,-73.93552,Manhattan Community Board 11,5.6,0,0
4cd31f796be6a143929e9202,Big Bites,40.68257081237448,-73.83592459612454,Queens,0.0,0,1
4b7193ecf964a520ab4e2de3,Wendy's,40.79768503957172,-73.93994227051735,Manhattan Community Board 11,5.4,24,4
4df54f64fa76abc3d873315e,Texas Chicken & Burgers,40.8131921087649,-73.94179701805115,Manhattan Community Board 10,0.0,3,1
4ccf10cb511b236ab76000ca,Piccolo's Cheesesteaks,40.737995943948164,-74.03542667005013,Hudson County,7.8,23,10
4ca65cd114c3370462dfbe3b,Kennedy Fried Chicken,40.66959733772352,-73.93387457888171,Brooklyn,0.0,2,4
4e3ee4fb483b04e17aa9684f,Chimi's Deli,40.759632,-74.043476,Hudson County,0.0,0,0
4b3709c7f964a520323f25e3,White Castle,40.80880445447685,-73.94846003147816,Manhattan Community Board 10,5.2,19,17
49f47249f964a520066b1fe3,In and Out Chicken,40.72492745471187,-73.95141994216063,Brooklyn,5.9,17,28
4bec9390b68520a17f5d1287,Characters Bar & Grill,40.76460729447683,-73.98340598670063,Manhattan Community Board 5,5.8,58,28
4197f180f964a520151e1fe3,Fabiane's,40.71673082800953,-73.95893920263242,Brooklyn,0.0,166,102
55dd44a7498ecacaca6aa8e3,Fancy Nancy Brooklyn,40.68945567450811,-73.95518118957708,Brooklyn,9.0,140,33
500d9460c84c53f005e19eb8,Murray's Cheese Bar,40.7312530262576,-74.0030256332198,Manhattan Community Board 2,9.3,629,122
523b90f411d2eb61e76f50d0,Dutch Kills Centraal,40.75353128800244,-73.93452664369404,Queens,7.8,134,45
4abfb223f964a520b39120e3,Carpe Diem Pub & Restaurant,40.754469747859396,-74.03151719049039,Hudson County,8.2,96,54
423e0e80f964a52049201fe3,Dalton's Bar & Grill,40.759256091378646,-73.99202422088419,Manhattan Community Board 4,6.7,130,47
4b212d63f964a520c63724e3,Harrington's Bar & Grill,40.748834713241955,-73.99227891954176,Manhattan Community Board 5,5.2,48,53
4a7b560df964a520b7ea1fe3,Coliseum Bar & Restaurant,40.767556947011286,-73.98328443789092,Manhattan Community Board 5,4.9,44,38
